Name,YEAR,ENROLLMENT,TotalNumberOfIncidents
LYON AT BLOW ELEM. (5180),2013,352,8
LYON AT BLOW ELEM. (5180),2014,389,8
LYON AT BLOW ELEM. (5180),2015,387,11
MALLINCKRODT A.B.I. ELEM. (5240),2008,229,0
MALLINCKRODT A.B.I. ELEM. (5240),2009,206,0
MALLINCKRODT A.B.I. ELEM. (5240),2010,187,0
MALLINCKRODT A.B.I. ELEM. (5240),2011,178,1
MALLINCKRODT A.B.I. ELEM. (5240),2012,193,0
MALLINCKRODT A.B.I. ELEM. (5240),2013,253,0
MALLINCKRODT A.B.I. ELEM. (5240),2014,250,0
MALLINCKRODT A.B.I. ELEM. (5240),2015,241,0
MANN ELEM. (5260),2008,210,1
MANN ELEM. (5260),2009,247,0
